start,open,high,low,close,volume,trades,action
1547427600000,3482.47,3493.78,3479.75,3487.98,1033.687887,7773,1
1547431200000,3488.62,3499.9,3486.05,3496,1075.489977,7744,1
1547434800000,3497.41,3497.41,3487.51,3489.45,594.679479,5199,1
1547438400000,3489.43,3499.65,3487.52,3498.31,589.7588299999999,5178,1
1547442000000,3498.31,3514.8,3495.41,3504.72,1139.3953519999995,7809,1
1547445600000,3503.22,3522.15,3500.08,3518.18,1076.6654980000003,7177,1
1547449200000,3518.82,3527.83,3509,3511.83,1085.8569260000002,7696,1
1547452800000,3511.73,3511.89,3496,3501.85,1082.2616490000003,6410,1
1547456400000,3501.91,3511.21,3495.01,3505.02,881.1208970000001,6774,1
1547460000000,3505.3,3540,3498.55,3502.75,1489.4781539999988,8327,1
1547463600000,3503.8,3505.38,3485.02,3488.28,1148.399636,7488,1
1547467200000,3488.8,3509,3487,3506.25,1434.9147429999994,8208,1
1547470800000,3505.78,3514.19,3495.63,3496.8,1094.6059570000004,7391,1
1547474400000,3496.36,3500,3487,3497,949.6170010000002,6084,1
1547478000000,3497,3647,3495,3630.98,6878.355908000002,26886,0
1547481600000,3630.98,3671.87,3611,3616.65,3464.9572189999985,18527,0
1547485200000,3616.67,3634.99,3616.67,3627.71,1963.0592550000008,11100,0
1547488800000,3627.45,3647.97,3623.21,3628.01,1726.8701169999997,12065,0
1547492400000,3629.32,3644.22,3623.15,3638.08,1107.1605410000002,8955,0
1547496000000,3638.74,3665,3623.45,3629.45,1507.9308589999998,10972,0
1547499600000,3629.46,3629.46,3590,3623.7,1446.1652329999997,9277,0
1547503200000,3623.02,3633.13,3614.36,3622.86,852.109899,7258,0
1547506800000,3623,3635.99,3620,3626.09,904.7647539999999,7725,0
1547510400000,3626.08,3643.27,3624.22,3633.22,886.705047,8622,0
1547514000000,3632.88,3648.42,3631.93,3633.44,901.1426939999998,8455,0
1547517600000,3633.46,3636.97,3623.14,3624.98,833.865584,6896,0
1547521200000,3624.89,3632.07,3623,3629.38,637.583367,6502,0
1547524800000,3629.38,3631.86,3624.83,3627.19,785.0770539999999,6337,0
1547528400000,3627.4,3630.06,3612.48,3619.43,889.939896,6376,0
1547532000000,3619.14,3621.92,3610.12,3616.81,1309.3625259999997,7825,0
1547535600000,3616.03,3629.45,3616.03,3629.09,1118.7482679999998,8342,0
1547539200000,3629.09,3630.43,3616,3624.34,1091.3279449999998,6373,0
1547542800000,3623.64,3625.04,3578.07,3604.06,2603.2603560000002,13401,0
1547546400000,3604.51,3618,3591.02,3610.64,1608.0144510000007,8688,0
1547550000000,3610.56,3617.59,3606.37,3611.39,1017.4789559999999,7040,0
1547553600000,3612.1,3618,3591,3602.6,1149.622173,8173,0
1547557200000,3602.06,3634.75,3600,3624.78,1675.951607,10223,0
1547560800000,3624.96,3626.31,3612.91,3625.09,1501.9642220000003,9331,0
1547564400000,3625.09,3640.77,3580,3596.98,3168.354472999999,16913,0
1547568000000,3597.31,3610.73,3583.5,3599.01,1557.8439009999997,9893,0
1547571600000,3599.01,3604.5,3592.05,3602.37,1000.5667649999999,7536,0
1547575200000,3602.25,3607.62,3590.5,3596.98,1022.5890690000001,7592,0
1547578800000,3596.96,3605,3589.01,3604.14,811.1187589999998,6883,0
1547582400000,3604.14,3605,3516.62,3532.59,4462.085756,22231,1
1547586000000,3534.42,3550,3524.42,3539.33,1930.7630140000003,11416,1
1547589600000,3539.57,3557.5,3536.05,3543.97,1109.863839,8192,1
